"product_id","product_category","product_name"
"214","配件","头盔"
"217","配件","头盔"
"222","配件","头盔"
"225","服装","帽子"
"228","服装","棒球服"
"231","服装","棒球服"
"234","服装","棒球服"
"237","服装","棒球服"
"310","球","硬式棒球"
"311","球","硬式棒球"
"312","球","硬式棒球"
"313","球","硬式棒球"
"314","球","硬式棒球"
"320","球","硬式棒球"
"321","球","硬式棒球"
"322","球","硬式棒球"
"323","球","硬式棒球"
"324","球","硬式棒球"
"325","球","硬式棒球"
"326","球","硬式棒球"
"327","球","硬式棒球"
"328","球","硬式棒球"
"329","球","硬式棒球"
"330","球","硬式棒球"
"331","球","硬式棒球"
"332","球","硬式棒球"
"333","球","硬式棒球"
"334","球","硬式棒球"
"335","球","硬式棒球"
"336","球","硬式棒球"
"337","球","硬式棒球"
"338","球","硬式棒球"
"339","球","硬式棒球"
"340","球","硬式棒球"
"341","球","硬式棒球"
"342","球","硬式棒球"
"343","球","硬式棒球"
"344","球","软式棒球"
"345","球","软式棒球"
"346","球","软式棒球"
"347","球","软式棒球"
"348","球","软式棒球"
"349","球","软式棒球"
"350","球","软式棒球"
"351","球","软式棒球"
"352","球","软式棒球"
"353","球","软式棒球"
"354","球","软式棒球"
"355","球","软式棒球"
"356","球","软式棒球"
"357","球","软式棒球"
"358","球","软式棒球"
"359","球","软式棒球"
"360","球","软式棒球"
"361","球","软式棒球"
"362","球","软式棒球"
"363","球","软式棒球"
"368","球","硬式棒球"
"369","球","硬式棒球"
"370","球","硬式棒球"
"371","球","硬式棒球"
"372","球","硬式棒球"
"373","球","硬式棒球"
"374","球","硬式棒球"
"375","球","硬式棒球"
"376","球","硬式棒球"
"377","球","硬式棒球"
"378","球","硬式棒球"
"379","球","硬式棒球"
"380","球","硬式棒球"
"381","球","硬式棒球"
"382","球","硬式棒球"
"383","球","硬式棒球"
"384","球","硬式棒球"
"385","球","硬式棒球"
"386","球","硬式棒球"
"387","球","硬式棒球"
"388","球","硬式棒球"
"389","球","硬式棒球"
"390","球","硬式棒球"
"463","服装","击打手套"
"465","服装","击打手套"
"467","服装","击打手套"
"471","服装","捕手护具"
"472","服装","捕手护具"
"473","服装","捕手护具"
"474","服装","皮带"
"475","服装","皮带"
"476","服装","皮带"
"477","配件","球棒与球棒袋"
"478","配件","球棒与球棒袋"
"479","配件","球棒与球棒袋"
"480","配件","棒球手套"
"481","服装","袜子"
"482","服装","袜子"
"483","配件","球网"
"484","配件","垒垫"
"485","配件","三角网架"
"486","配件","打击T座"
"487","配件","装备包"
"488","服装","棒球服"
"489","服装","棒球服"
"490","服装","棒球服"
"491","服装","棒球服"
"528","配件","棒球手套"
"529","配件","棒球手套"
"530","配件","棒球手套"
"535","配件","棒球手套"
"536","配件","棒球手套"
"537","配件","棒球手套"
"538","配件","棒球手套"
"539","配件","棒球手套"
"540","配件","棒球手套"
"541","配件","棒球手套"
"560","球","垒球"
"561","球","垒球"
"562","球","垒球"
"563","球","垒球"
"564","球","垒球"
"565","球","垒球"
"566","球","垒球"
"567","球","垒球"
"568","球","垒球"
"569","球","垒球"
"570","球","垒球"
"571","球","垒球"
"572","球","垒球"
"573","球","垒球"
"574","球","垒球"
"575","球","垒球"
"576","球","垒球"
"577","球","垒球"
"578","球","垒球"
"579","球","垒球"
"580","球","硬式棒球"
"581","球","硬式棒球"
"582","球","硬式棒球"
"583","球","硬式棒球"
"584","球","硬式棒球"
"585","球","垒球"
"586","球","垒球"
"587","球","软式棒球"
"588","球","软式棒球"
"589","球","软式棒球"
"590","球","软式棒球"
"591","球","软式棒球"
"592","球","软式棒球"
"593","球","软式棒球"
"594","球","软式棒球"
"595","球","软式棒球"
"596","球","软式棒球"
"597","球","软式棒球"
"598","球","软式棒球"
"599","球","软式棒球"
"600","球","软式棒球"
"604","球","硬式棒球"
"605","球","硬式棒球"
"606","球","硬式棒球"
